Item ID,Description,Qty,Component link
TIFCC0162,Esp32 devboard 30 pin,2,https://robocraze.com/products/nodemcu-32-wifi-bluetooth-esp32-development-board30-pin?variant=42268194046176
TIFCB0008,Common cathode rgb led,2,https://robocraze.com/products/rgb-led-common-cathode-pack-of-10?variant=40192528941209
TIFPS0521,3.7V 400mAh Li-Po Battery,2,https://robocraze.com/products/witty-fox-3-7v-400mah-rechargeable-lipo-battery-1?variant=47485429252320
TIFPS0005,5V charge discharge regulator,2,https://robocraze.com/products/2-54mm-pitch-jst-cable-with-connector-pack-of-10?variant=40194282946713
TIFCW0049,JST 2 pin connector cable,2,https://robocraze.com/products/2-54mm-pitch-jst-cable-with-connector-pack-of-10?variant=40194282946713
TIFCW0007,1x40 Female row header,2,https://robocraze.com/products/40x1-female-berg-strip?variant=40192367689881
TIFEC0281,220 ohm resistors,6,https://robocraze.com/products/220-ohm-resistor-pack-of-10?variant=40194236121241
TIFEC0281,SPDT 3 pin switch,2,https://robocraze.com/products/slide-switch-3-pin-2-way-spdt?variant=44698610237664
TIFCB1294,6x6x5 Tactile push buttons,22,https://robocraze.com/products/4-pins-dip-momentary-square-tactile-push-button-switch-10-pieces-6x6x5mm?variant=43223713874144
,,,
